peakID	mzmed	mzmin	mzmax	rtmin	rtmax	npeaks	all_sample_valid	mzmin_full	mzmax_full	rtmin_full	rtmax_full	isotopes	adduct	pcgroup	medianPurity	i
68	126.0989416189	126.0989416189	126.0989416189	402.0596851315	402.0596851315	1	0	126.0550613403	126.111038208	388.9187717539	415.608455262	[9][M+1]+		172	0	1170257.74876293
115	144.0481064139	144.0481064139	144.0481064139	222.636721003	222.636721003	1	0	144.0480651855	144.0481567383	215.2463829706	228.487812532			1087	0	8101648.28631741
707	265.9966976172	265.9958825303	265.9969483981	1650.2761435648	1651.4328995765	3	1	265.9562683105	266.0263977051	1637.0818625204	1665.6446564471	[87][M+1]+		450	1	581709.066311998
546	243.6557550548	243.6557189554	243.6557911543	350.7786059272	351.4386655549	2	1	243.655090332	243.6559753418	336.8368926615	364.3307049587			1010	1	893392.089452035
952	295.6910293472	295.6910271256	295.6910315687	711.3486639045	711.8165423904	2	1	295.6902770996	295.6913452148	698.0966098276	724.4071330899			49	1	1317848.63755998
789	276.1450233198	276.143895092	276.1463682601	760.5899393351	817.7140655554	4	0	275.9786987305	276.144744873	748.1717807893	774.9323652053			1185	1	1398971.59806941
623	254.1871424143	254.1871068736	254.187177955	592.2415460059	592.5199854439	2	1	254.1753540039	254.2119445801	578.6839259346	607.0502953564			1424	1	1953979.05629804
920	292.1159133554	292.1158788361	292.191000914	979.3847471142	998.1430566037	3	1	291.994140625	292.1163024902	966.5504895175	994.2727954441			1205	1	2417835.95469911
957	296.1714953458	296.1703477871	296.1726429046	434.1069943092	437.3266278253	2	0	296.1692504883	296.2590637207	420.5653695448	447.6496373224		[M+Na]+ 273.182	1050	1	2559649.00065767
379	206.0397710031	206.0390760657	206.0404659404	149.3940037671	150.223200291	2	1	205.9874725342	206.1389465332	136.9548991378	162.0425533449	[48][M+2]+		2	1	2731342.89070602
621	254.1616729372	254.1616654305	254.1616804439	238.3629335187	239.4109178681	2	1	254.1607666016	254.2117767334	225.7643092487	251.6673701039		[M+H]+ 253.159	80	1	2758654.92684078
790	276.1959676792	276.1958828405	276.1960525179	1109.0019721604	1110.7325999279	2	0	276.1440124512	276.1963195801	1095.9367088328	1122.1696284677			116	1	2922304.70634651
711	266.1589498329	266.1586669172	266.1592327487	363.9677567213	364.792975448	2	1	266.1580200195	266.2115783691	347.1609622364	377.9640411261	[88][M+1]+		97	1	2977079.9118473
987	299.1314674867	299.0916273666	299.1715177143	833.6635778428	862.1731158102	4	1	298.9530944824	299.1105041504	820.8797831316	847.095302435			996	1	3014699.18254213
772	274.1250582137	274.1250274868	274.1250889407	456.9567866033	457.6286829795	2	1	274.1184692383	274.2377319336	443.9068903643	470.1893611054	[95][M+1]+		89	1	3322407.39681757
638	257.1524095198	257.151706723	257.1526223909	1147.5813491725	1149.9350874104	4	1	257.0997619629	257.2113342285	1134.7405461042	1160.0402991148		[M+Na]+ 234.163	35	1	3691667.60598334
828	281.1498958582	281.0951826611	281.1559529586	41.2345464272	105.2790989053	6	1	281.1528015137	281.1751708984	62.0443229034	85.3732605478		[3M+2Na]2+ 172.116 [M+Na]+ 258.159	1	1	3698759.08957956
749	271.0980341673	271.0980298398	271.0980384949	124.2937375468	125.3456405579	2	1	271.0923461914	271.2274780273	112.3569923477	136.5981700078		[2M+Na+2K]3+ 356.183	4	1	3765338.05041942
20	109.1013425672	109.1013395823	109.1013455522	862.637211963	862.8480587986	2	1	109.1012878418	109.1014099121	849.8041127036	875.8556319061			711	1	4012203.13257714
922	292.1549868303	292.1549757416	292.1549979189	890.8616986271	891.4519936027	2	1	292.0600585938	292.189453125	878.3611315007	904.1479283993		[M+2H-C6H10O4]2+ 728.36	21	1	4129492.3885876
594	250.1884543953	250.1883654667	250.1884782711	1153.9877253454	1156.1744945423	3	0	250.1881866455	250.188659668	1141.1975785993	1166.8765797854	[74][M+1]+		76	1	4136241.66407204
769	274.1767313304	274.1763638642	274.1771290915	183.0142184977	214.8761740981	4	1	274.1647338867	274.2744445801	172.6990363273	197.6543919381		[M+H-C2H4]+ 301.201	63	1	4147708.20935805
676	262.1189103437	262.1180710246	262.1192071461	253.098230277	302.4269444853	4	1	262.0548400879	262.1887512207	241.593353062	265.0728779368			525	1	4164791.91691399
773	274.1078335118	274.1077958338	274.1078711899	860.2950536244	860.5056049644	2	1	274.087310791	274.1089172363	847.6439277606	874.7799251519		[M+H+NH3]+ 256.075	30	1	4261642.18739906
