full_group_idd	mzmed	mzmin	mzmax	rtmin	rtmax	npeaks	all_sample_valid	mzmin_full	mzmax_full	rtmin_full	rtmax_full	isotopes	adduct	pcgroup	i
16	534.192508512	534.1925000684	534.1925169557	148.1236617713	149.2703132899	2	1	534.1834716797	534.2601318359	135.8844428736	160.9360521463	[153][M]+	[3M+K]+ 165.079	2	16267359.9092079
16	572.1385976128	572.1385882665	572.138606959	148.1236617713	149.2703132899	2	1	572.1368408203	572.1411132813	135.8844428736	160.9360521463		[3M+2K-H]+ 165.079	2	516598.794042753
16	210.0519146943	210.0518128434	210.0520165453	149.3940037671	150.5417636549	2	1	210.0503540039	210.1573638916	137.3130076181	162.4067286728		[M+2Na-H]+ 165.079	2	30114675.909858
16	535.195953815	535.1959441672	535.1959634627	148.1236617713	149.2703132899	2	1	535.1934814453	535.2744140625	135.8844428736	160.5675074501	[153][M+1]+		2	4766007.04762466
16	121.0841569932	121.0841503337	121.0841636526	148.7570691896	149.5871387608	2	1	121.0286407471	121.0845336914	136.5981700078	161.3043487852	[3][M+1]+		2	38043455.2648298
16	120.0807570252	120.0807074046	120.0808066458	148.7570691896	149.5871387608	2	1	120.0477371216	120.0811462402	136.2402985817	161.3043487852	[3][M]+	[M+H-HCOOH]+ 165.079	2	382766560.259957
16	370.1159636582	370.1159363886	370.1159909278	148.7570691896	149.5871387608	2	1	370.1149597168	370.1300354004	135.8844428736	160.9360521463	[79][M+1]+		2	2750085.10701767
16	518.2175651496	518.2175239331	518.217606366	148.1236617713	149.2703132899	2	1	518.21484375	518.3147583008	135.8844428736	160.9360521463		[3M+Na]+ 165.079	2	4333438.31507077
16	353.1475729125	353.1475719037	353.1475739214	148.7570691896	149.5871387608	2	1	353.0640563965	353.1815490723	136.9548991378	160.9360521463	[68][M]+	[2M+Na]+ 165.079	2	15551796.7944097
16	369.1140280936	369.1140245995	369.1140315877	148.4401085407	149.2703132899	2	1	369.1121826172	369.1752929688	136.2402985817	160.9360521463	[79][M]+	[2M+K]+ 165.079	2	15133989.616836
16	391.1156445816	391.1153172	391.1159719631	149.3940037671	150.5417636549	2	1	391.0938415527	391.2195129395	139.1070092183	162.0425533449		[2M+Na+K-H]+ 165.079	2	3630094.06312608
16	354.1521582161	354.1521007221	354.15221571	148.1236617713	149.2703132899	2	1	354.1237182617	354.1778869629	138.7485122147	156.8621363333	[68][M+1]+		2	3055485.92358444
16	204.0430196233	204.042863709	204.0431755375	149.3940037671	150.223200291	2	1	204.0423583984	204.123550415	136.9548991378	162.0425533449		[M+K]+ 165.079	2	32741064.8290547
16	188.0685983647	188.0685817697	188.0686149597	148.7570691896	149.9044754521	2	1	188.0684204102	188.128616333	136.5981700078	161.6723853341		[M+Na]+ 165.079	2	168545432.00075
16	166.0864483717	166.0864476886	166.0864490547	148.7570691896	149.5871387608	2	1	166.0725250244	166.086517334	136.2402985817	161.3043487852	[11][M]+	[M+H]+ 165.079	2	1407756535.13044
16	332.1690382191	332.1689789911	332.169097447	147.173933117	148.0021232944	2	1	332.1273193359	332.2012023926	136.5981700078	155.7706938194	[59][M+1]+		2	14103799.6242254
16	168.0947033839	168.0945197285	168.0948870392	148.4401085407	149.5871387608	2	1	168.0899658203	168.1233520508	136.2402985817	160.5675074501	[11][M+2]+		2	5690195.13610316
16	167.0895836613	167.089558445	167.0896088775	148.7570691896	149.5871387608	2	1	167.0893859863	167.1069335938	136.2402985817	161.3043487852	[11][M+1]+		2	140823977.870317
